session_date,open_time,close_time,session_type
2025-09-30,09:30,16:00,RTH
2025-10-01,09:30,16:00,RTH
2025-10-02,09:30,16:00,RTH
2025-10-03,09:30,16:00,RTH
2025-10-06,09:30,16:00,RTH
2025-10-07,09:30,16:00,RTH
